locality_name,gazetted_locality_name,vicnames_id,ufi,pfi,has_public_parking_data,parking_entity_count,source_owner_count,source_dataset_count,source_owners,source_datasets
BOCHARA,BOCHARA,100414,788052908,205408563,False,0,0,0,,
BOGONG,BOGONG,100415,468965590,205408560,False,0,0,0,,
BOHO,BOHO,100416,550625615,205408202,False,0,0,0,,
BOHO SOUTH,BOHO SOUTH,100418,550625617,205408307,False,0,0,0,,
BOIGBEAT,BOIGBEAT,100419,468964863,205408091,False,0,0,0,,
BOINKA,BOINKA,100420,826549797,205407520,False,0,0,0,,
BOISDALE,BOISDALE,100421,468966696,205408271,False,0,0,0,,
BOLANGUM,BOLANGUM,100422,468965509,205409220,False,0,0,0,,
BOLINDA,BOLINDA,100423,521284807,205409263,False,0,0,0,,
BOLTON,BOLTON,100424,468964782,205407817,False,0,0,0,,
BOLWARRA,BOLWARRA,100425,795436782,205409435,False,0,0,0,,
BOLWARRAH,BOLWARRAH,100426,802469044,205409478,False,0,0,0,,
BONA VISTA,BONA VISTA,100427,872698159,205409722,False,0,0,0,,
BONANG,BONANG,100428,574189493,214485434,False,0,0,0,,
BONBEACH,BONBEACH,100429,720822393,205410241,False,0,0,0,,
BONEGILLA,BONEGILLA,100430,817075005,205408492,False,0,0,0,,
BONEO,BONEO,100431,776340617,205409092,False,0,0,0,,
BONN,BONN,100432,824742236,205408445,False,0,0,0,,
BONNIE BROOK,BONNIE BROOK,123258,791830792,425652792,False,0,0,0,,
BONNIE DOON,BONNIE DOON,100434,806917010,205407647,False,0,0,0,,
BONSHAW,BONSHAW,100435,829328770,205410210,False,0,0,0,,
BOOKAAR,BOOKAAR,100436,810305646,205407598,False,0,0,0,,
BOOLA,BOOLA,100437,808851366,205408355,False,0,0,0,,
BOOLARONG,BOOLARONG,100439,812374086,205409740,False,0,0,0,,
BOOLARRA,BOOLARRA,100440,812374044,205408907,False,0,0,0,,
BOOLARRA SOUTH,BOOLARRA SOUTH,100442,812374057,205408439,False,0,0,0,,
BOOLE POOLE,BOOLE POOLE,100444,853714340,205408114,False,0,0,0,,
BOOLITE,BOOLITE,100445,468965197,205408190,False,0,0,0,,
BOOMAHNOOMOONAH,BOOMAHNOOMOONAH,100446,468965057,205409136,False,0,0,0,,
BOONAH,BOONAH,100447,796758832,205408636,False,0,0,0,,
BOORCAN,BOORCAN,100448,810305659,205408534,False,0,0,0,,
BOORHAMAN,BOORHAMAN,100449,468965117,205408128,False,0,0,0,,
BOORHAMAN EAST,BOORHAMAN EAST,100450,468965090,205409127,False,0,0,0,,
BOORHAMAN NORTH,BOORHAMAN NORTH,100451,468965030,205408948,False,0,0,0,,
BOOROLITE,BOOROLITE,100452,468965845,205408340,False,0,0,0,,
BOOROOL,BOOROOL,100453,812374065,205409707,False,0,0,0,,
BOORT,BOORT,100454,835229199,205407541,False,0,0,0,,
BOOSEY,BOOSEY,100455,838124769,205408761,False,0,0,0,,
BORALMA,BORALMA,100456,468965134,205408979,False,0,0,0,,
BORNES HILL,BORNES HILL,100457,788052888,205407570,False,0,0,0,,
BORONIA,BORONIA,100458,820278129,205409801,False,0,0,0,,
BORUNG,BORUNG,100459,468965165,205407923,False,0,0,0,,
BOSTOCKS CREEK,BOSTOCKS CREEK,100460,810305670,205409350,False,0,0,0,,
BOTANIC RIDGE,BOTANIC RIDGE,103704,752636323,212811750,True,3,1,1,City of Casey,City of Casey Parking Restriction Zones
BOUNDARY BEND,BOUNDARY BEND,100461,468964769,205407715,False,0,0,0,,
BOWENVALE,BOWENVALE,100462,843399950,205409578,False,0,0,0,,
BOWEYA,BOWEYA,100463,468965167,205408843,False,0,0,0,,
BOWEYA NORTH,BOWEYA NORTH,100465,468965136,205409249,False,0,0,0,,
BOWMANS FOREST,BOWMANS FOREST,100466,569187644,205408592,False,0,0,0,,
BOWSER,BOWSER,100467,821620743,205410066,False,0,0,0,,
BOX HILL,BOX HILL,100468,746966702,205410187,False,0,0,0,,
BOX HILL NORTH,BOX HILL NORTH,100469,856969692,205410156,False,0,0,0,,
